Home_Team,LOST
1. FC Kaiserslautern,15
1. FC Köln,39
1. FC Nürnberg,34
1. FSV Mainz 05,35
AC Ajaccio,22
AC Arles-Avignon,11
AC Bellinzona,24
ADO Den Haag,47
AJ Auxerre,18
AS Monaco,22
AS Nancy-Lorraine,36
AS Saint-Étienne,37
AZ,28
Aberdeen,47
Académica de Coimbra,41
Ajax,9
Amadora,4
Angers SCO,5
Arka Gdynia,17
Arsenal,21
Aston Villa,57
Atalanta,42
Athletic Club de Bilbao,41
Atlético Madrid,25
BSC Young Boys,24
Bari,15
Bayer 04 Leverkusen,26
Beerschot AC,21
Birmingham City,7
Blackburn Rovers,26
Blackpool,9
Boavista FC,15
Bologna,51
Bolton Wanderers,29
Borussia Dortmund,18
Borussia Mönchengladbach,34
Bournemouth,9
Brescia,8
Burnley,15
CA Osasuna,31
CD Nacional,27
CD Numancia,7
CD Tenerife,5
CF Os Belenenses,32
CS Marítimo,38
Cagliari,46
Cardiff City,9
Carpi,8
Catania,29
Celtic,9
Cesena,25
Chelsea,17
Chievo Verona,52
Club Brugge KV,13
Cracovia,39
Crystal Palace,28
Córdoba CF,12
DSC Arminia Bielefeld,7
De Graafschap,31
Dijon FCO,9
Dundee FC,23
Dundee United,50
Dunfermline Athletic,11
ES Troyes AC,16
Eintracht Braunschweig,9
Eintracht Frankfurt,40
Elche CF,15
Empoli,11
En Avant de Guingamp,22
Estoril Praia,17
Everton,33
Excelsior,33
FC Aarau,35
FC Arouca,20
FC Augsburg,28
FC Barcelona,9
FC Basel,14
FC Bayern Munich,13
FC Dordrecht,10
FC Energie Cottbus,10
FC Groningen,33
FC Ingolstadt 04,5
FC Lausanne-Sports,29
FC Lorient,37
FC Luzern,41
FC Metz,9
FC Nantes,24
FC Paços de Ferreira,38
FC Penafiel,11
FC Porto,6
FC Schalke 04,32
FC Sion,41
FC Sochaux-Montbéliard,37
FC St. Gallen,35
FC St. Pauli,10
FC Thun,26
FC Twente,19
FC Utrecht,30
FC Vaduz,23
FC Volendam,8
FC Zürich,43
FCV Dender EH,8
Falkirk,19
Feirense,5
Feyenoord,23
Fiorentina,33
Fortuna Düsseldorf,6
Frosinone,9
Fulham,38
GFC Ajaccio,7
GKS Bełchatów,23
Genoa,38
Getafe CF,51
Gil Vicente FC,25
Girondins de Bordeaux,24
Go Ahead Eagles,15
Granada CF,37
Grasshopper Club Zürich,42
Grenoble Foot 38,16
Górnik Łęczna,10
Hamburger SV,47
Hamilton Academical FC,40
Hannover 96,41
Heart of Midlothian,42
Hellas Verona,22
Heracles Almelo,41
Hertha BSC Berlin,40
Hibernian,44
Hull City,35
Hércules Club de Fútbol,7
Inter,24
Inverness Caledonian Thistle,46
Jagiellonia Białystok,30
Juventus,16
KAA Gent,27
KAS Eupen,9
KRC Genk,20
KSV Cercle Brugge,37
KSV Roeselare,16
KV Kortrijk,27
KV Mechelen,27
KV Oostende,9
KVC Westerlo,32
Karlsruher SC,8
Kilmarnock,72
Korona Kielce,27
LOSC Lille,20
Lazio,39
Le Havre AC,15
Le Mans FC,16
Lecce,23
Lech Poznań,19
Lechia Gdańsk,36
Legia Warszawa,16
Leicester City,8
Leixões SC,10
Levante UD,38
Lierse SK,19
Liverpool,23
Livorno,19
Lugano,8
Manchester City,21
Manchester United,20
Middlesbrough,5
Milan,25
Montpellier Hérault SC,35
Moreirense FC,22
Motherwell,49
Málaga CF,45
N.E.C.,39
NAC Breda,43
Napoli,17
Naval 1° de Maio,19
Neuchâtel Xamax,24
Newcastle United,44
Norwich City,25
Novara,6
OGC Nice,41
Odra Wodzisław,12
Olympique Lyonnais,21
Olympique de Marseille,30
Oud-Heverlee Leuven,16
P. Warszawa,21
PEC Zwolle,20
PSV,13
Palermo,36
Paris Saint-Germain,18
Parma,31
Partick Thistle F.C.,25
Pescara,14
Piast Gliwice,28
Podbeskidzie Bielsko-Biała,24
Pogoń Szczecin,14
Polonia Bytom,40
Portimonense,8
Portsmouth,19
Queens Park Rangers,24
RAEC Mons,17
RC Celta de Vigo,22
RC Deportivo de La Coruña,37
RC Lens,22
RC Recreativo,11
RCD Espanyol,45
RCD Mallorca,25
RKC Waalwijk,31
RSC Anderlecht,6
Racing Santander,30
Rangers,7
Rayo Vallecano,44
Reading,7
Real Betis Balompié,35
Real Madrid CF,12
Real Sociedad,28
Real Sporting de Gijón,35
Real Valladolid,23
Real Zaragoza,30
Reggio Calabria,7
Rio Ave FC,45
Roda JC Kerkrade,39
Roma,19
Ross County FC,34
Royal Excel Mouscron,19
Ruch Chorzów,38
S.C. Olhanense,29
SC Bastia,21
SC Beira Mar,20
SC Braga,25
SC Cambuur,22
SC Freiburg,38
SC Heerenveen,38
SC Paderborn 07,7
SD Eibar,17
SL Benfica,7
SM Caen,37
SV Darmstadt 98,9
SV Werder Bremen,40
SV Zulte-Waregem,29
Sampdoria,35
Sassuolo,19
Servette FC,17
Sevilla FC,34
Siena,28
Sint-Truidense VV,26
Southampton,20
SpVgg Greuther Fürth,13
Sparta Rotterdam,14
Sporting CP,18
Sporting Charleroi,34
Sporting Lokeren,29
St. Johnstone FC,44
St. Mirren,55
Stade Brestois 29,19
Stade Rennais FC,39
Stade de Reims,25
Standard de Liège,23
Stoke City,40
Sunderland,56
Swansea City,27
TSG 1899 Hoffenheim,40
Termalica Bruk-Bet Nieciecza,6
Tondela,10
Torino,30
Tottenham Hotspur,28
Toulouse FC,40
Trofense,7
Tubize,9
UD Almería,31
UD Las Palmas,6
US Boulogne Cote D'Opale,10
Udinese,37
Uniao da Madeira,5
"União de Leiria, SAD",22
VVV-Venlo,29
Valencia CF,28
Valenciennes FC,31
VfB Stuttgart,52
VfL Bochum,17
VfL Wolfsburg,31
Villarreal CF,26
Vitesse,31
Vitória Guimarães,35
Vitória Setúbal,50
Waasland-Beveren,20
Watford,7
West Bromwich Albion,52
West Ham United,46
Widzew Łódź,29
Wigan Athletic,34
Willem II,50
Wisła Kraków,30
Wolverhampton Wanderers,28
Xerez Club Deportivo,9
Zagłębie Lubin,28
Zawisza Bydgoszcz,12
Évian Thonon Gaillard FC,30
Śląsk Wrocław,26
