Home_Team,DRAW
1. FC Kaiserslautern,11
1. FC Köln,31
1. FC Nürnberg,21
1. FSV Mainz 05,29
AC Ajaccio,19
AC Arles-Avignon,6
AC Bellinzona,13
ADO Den Haag,39
AJ Auxerre,27
AS Monaco,39
AS Nancy-Lorraine,29
AS Saint-Étienne,40
AZ,26
Aberdeen,38
Académica de Coimbra,48
Ajax,24
Amadora,4
Angers SCO,8
Arka Gdynia,12
Arsenal,34
Aston Villa,50
Atalanta,35
Athletic Club de Bilbao,31
Atlético Madrid,24
BSC Young Boys,34
Bari,10
Bayer 04 Leverkusen,34
Beerschot AC,25
Birmingham City,17
Blackburn Rovers,21
Blackpool,5
Boavista FC,7
Bologna,39
Bolton Wanderers,20
Borussia Dortmund,30
Borussia Mönchengladbach,31
Bournemouth,5
Brescia,5
Burnley,12
CA Osasuna,35
CD Nacional,37
CD Numancia,3
CD Tenerife,6
CF Os Belenenses,25
CS Marítimo,31
Cagliari,34
Cardiff City,5
Carpi,5
Catania,27
Celtic,23
Cesena,18
Chelsea,34
Chievo Verona,54
Club Brugge KV,18
Cracovia,24
Crystal Palace,9
Córdoba CF,6
DSC Arminia Bielefeld,8
De Graafschap,19
Dijon FCO,4
Dundee FC,19
Dundee United,36
Dunfermline Athletic,7
ES Troyes AC,15
Eintracht Braunschweig,3
Eintracht Frankfurt,33
Elche CF,11
Empoli,14
En Avant de Guingamp,12
Estoril Praia,17
Everton,43
Excelsior,16
FC Aarau,12
FC Arouca,11
FC Augsburg,25
FC Barcelona,12
FC Basel,26
FC Bayern Munich,14
FC Dordrecht,4
FC Energie Cottbus,1
FC Groningen,31
FC Ingolstadt 04,5
FC Lausanne-Sports,8
FC Lorient,53
FC Luzern,37
FC Metz,4
FC Nantes,24
FC Paços de Ferreira,38
FC Penafiel,3
FC Porto,16
FC Schalke 04,24
FC Sion,32
FC Sochaux-Montbéliard,27
FC St. Gallen,30
FC St. Pauli,3
FC Thun,37
FC Twente,32
FC Utrecht,37
FC Vaduz,21
FC Volendam,3
FC Zürich,38
FCV Dender EH,4
Falkirk,10
Feirense,7
Feyenoord,27
Fiorentina,37
Fortuna Düsseldorf,6
Frosinone,4
Fulham,24
GFC Ajaccio,7
GKS Bełchatów,25
Genoa,39
Getafe CF,39
Gil Vicente FC,19
Girondins de Bordeaux,47
Go Ahead Eagles,8
Granada CF,27
Grasshopper Club Zürich,30
Grenoble Foot 38,12
Górnik Łęczna,8
Hamburger SV,34
Hamilton Academical FC,29
Hannover 96,33
Heart of Midlothian,25
Hellas Verona,14
Heracles Almelo,36
Hertha BSC Berlin,24
Hibernian,38
Hull City,20
Hércules Club de Fútbol,5
Inter,37
Inverness Caledonian Thistle,39
Jagiellonia Białystok,27
Juventus,30
KAA Gent,19
KAS Eupen,3
KRC Genk,25
KSV Cercle Brugge,16
KSV Roeselare,7
KV Kortrijk,23
KV Mechelen,29
KV Oostende,7
KVC Westerlo,24
Karlsruher SC,4
Kilmarnock,32
Korona Kielce,35
LOSC Lille,39
Lazio,31
Le Havre AC,0
Le Mans FC,10
Lecce,19
Lech Poznań,27
Lechia Gdańsk,37
Legia Warszawa,23
Leicester City,11
Leixões SC,11
Levante UD,28
Lierse SK,29
Liverpool,43
Livorno,10
