Home_Team,WINS
1. FC Kaiserslautern,8
1. FC Köln,32
1. FC Nürnberg,30
1. FSV Mainz 05,55
AC Ajaccio,16
AC Arles-Avignon,2
AC Bellinzona,17
ADO Den Haag,50
AJ Auxerre,31
AS Monaco,53
AS Nancy-Lorraine,30
AS Saint-Étienne,75
AZ,82
Aberdeen,67
Académica de Coimbra,35
Ajax,103
Amadora,7
Angers SCO,6
Arka Gdynia,16
Arsenal,97
Aston Villa,45
Atalanta,55
Athletic Club de Bilbao,80
Atlético Madrid,103
BSC Young Boys,85
Bari,13
Bayer 04 Leverkusen,76
Beerschot AC,30
Birmingham City,14
Blackburn Rovers,29
Blackpool,5
Boavista FC,12
Bologna,41
Bolton Wanderers,27
Borussia Dortmund,88
Borussia Mönchengladbach,71
Bournemouth,5
Brescia,6
Burnley,11
CA Osasuna,48
CD Nacional,60
CD Numancia,9
CD Tenerife,8
CF Os Belenenses,22
CS Marítimo,55
Cagliari,52
Cardiff City,5
Carpi,6
Catania,57
Celtic,120
Cesena,12
Chelsea,101
Chievo Verona,46
Club Brugge KV,75
Cracovia,42
Crystal Palace,20
Córdoba CF,1
DSC Arminia Bielefeld,2
De Graafschap,18
Dijon FCO,6
Dundee FC,16
Dundee United,66
Dunfermline Athletic,1
ES Troyes AC,7
Eintracht Braunschweig,5
Eintracht Frankfurt,46
Elche CF,12
Empoli,13
En Avant de Guingamp,23
Estoril Praia,30
Everton,76
Excelsior,19
FC Aarau,25
FC Arouca,18
FC Augsburg,32
FC Barcelona,131
FC Basel,103
FC Bayern Munich,109
FC Dordrecht,3
FC Energie Cottbus,6
FC Groningen,72
FC Ingolstadt 04,7
FC Lausanne-Sports,16
FC Lorient,62
FC Luzern,65
FC Metz,6
FC Nantes,28
FC Paços de Ferreira,48
FC Penafiel,3
FC Porto,102
FC Schalke 04,80
FC Sion,70
FC Sochaux-Montbéliard,50
FC St. Gallen,43
FC St. Pauli,4
FC Thun,44
FC Twente,85
FC Utrecht,69
FC Vaduz,10
FC Volendam,6
FC Zürich,62
FCV Dender EH,5
Falkirk,9
Feirense,3
Feyenoord,86
Fiorentina,80
Fortuna Düsseldorf,5
Frosinone,6
Fulham,52
GFC Ajaccio,5
GKS Bełchatów,42
Genoa,74
Getafe CF,62
Gil Vicente FC,18
Girondins de Bordeaux,81
Go Ahead Eagles,11
Granada CF,31
Grasshopper Club Zürich,71
Grenoble Foot 38,10
Górnik Łęczna,12
Hamburger SV,55
Hamilton Academical FC,26
Hannover 96,62
Heart of Midlothian,66
Hellas Verona,21
Heracles Almelo,59
Hertha BSC Berlin,38
Hibernian,33
Hull City,21
Hércules Club de Fútbol,7
Inter,90
Inverness Caledonian Thistle,48
Jagiellonia Białystok,63
Juventus,105
KAA Gent,63
KAS Eupen,3
KRC Genk,61
KSV Cercle Brugge,38
KSV Roeselare,8
KV Kortrijk,56
KV Mechelen,50
KV Oostende,17
KVC Westerlo,35
Karlsruher SC,5
Kilmarnock,48
Korona Kielce,43
LOSC Lille,93
Lazio,81
Le Havre AC,4
Le Mans FC,12
Lecce,13
Lech Poznań,74
Lechia Gdańsk,47
Legia Warszawa,81
Leicester City,19
Leixões SC,9
Levante UD,48
Lierse SK,15
Liverpool,86
Livorno,9
Lugano,6
Manchester City,113
Manchester United,116
Middlesbrough,5
Milan,92
Montpellier Hérault SC,71
Moreirense FC,12
Motherwell,69
Málaga CF,67
N.E.C.,44
NAC Breda,48
Napoli,95
Naval 1° de Maio,13
Neuchâtel Xamax,22
Newcastle United,53
Norwich City,27
Novara,4
OGC Nice,69
Odra Wodzisław,10
Olympique Lyonnais,91
Olympique de Marseille,80
Oud-Heverlee Leuven,16
P. Warszawa,34
PEC Zwolle,31
PSV,105
Palermo,67
Paris Saint-Germain,102
Parma,50
Partick Thistle F.C.,16
Pescara,4
Piast Gliwice,38
Podbeskidzie Bielsko-Biała,19
Pogoń Szczecin,26
Polonia Bytom,63
Portimonense,4
Portsmouth,13
Queens Park Rangers,15
RAEC Mons,16
RC Celta de Vigo,30
RC Deportivo de La Coruña,42
RC Lens,19
RC Recreativo,4
RCD Espanyol,67
RCD Mallorca,49
RKC Waalwijk,25
RSC Anderlecht,79
Racing Santander,20
Rangers,56
Rayo Vallecano,41
Reading,4
Real Betis Balompié,31
Real Madrid CF,129
Real Sociedad,57
Real Sporting de Gijón,38
Real Valladolid,25
Real Zaragoza,29
Reggio Calabria,3
Rio Ave FC,43
Roda JC Kerkrade,44
Roma,97
Ross County FC,32
Royal Excel Mouscron,18
Ruch Chorzów,54
S.C. Olhanense,19
SC Bastia,38
SC Beira Mar,12
SC Braga,81
SC Cambuur,20
SC Freiburg,38
SC Heerenveen,65
SC Paderborn 07,4
SD Eibar,13
SL Benfica,102
SM Caen,34
SV Darmstadt 98,2
SV Werder Bremen,56
SV Zulte-Waregem,45
Sampdoria,56
Sassuolo,20
Servette FC,11
Sevilla FC,91
Siena,26
Sint-Truidense VV,18
Southampton,36
SpVgg Greuther Fürth,0
Sparta Rotterdam,12
Sporting CP,79
Sporting Charleroi,35
Sporting Lokeren,41
St. Johnstone FC,53
St. Mirren,34
Stade Brestois 29,18
Stade Rennais FC,63
Stade de Reims,30
Standard de Liège,66
Stoke City,69
Sunderland,49
Swansea City,37
TSG 1899 Hoffenheim,52
Termalica Bruk-Bet Nieciecza,5
Tondela,3
Torino,36
Tottenham Hotspur,88
Toulouse FC,62
Trofense,3
Tubize,6
UD Almería,31
UD Las Palmas,8
US Boulogne Cote D'Opale,4
Udinese,77
Uniao da Madeira,6
"União de Leiria, SAD",15
VVV-Venlo,23
Valencia CF,90
Valenciennes FC,49
VfB Stuttgart,58
VfL Bochum,7
VfL Wolfsburg,74
Villarreal CF,77
Vitesse,60
Vitória Guimarães,53
Vitória Setúbal,41
Waasland-Beveren,14
Watford,6
West Bromwich Albion,47
West Ham United,55
Widzew Łódź,30
Wigan Athletic,28
Willem II,31
Wisła Kraków,64
Wolverhampton Wanderers,16
Xerez Club Deportivo,6
Zagłębie Lubin,35
Zawisza Bydgoszcz,13
Évian Thonon Gaillard FC,29
Śląsk Wrocław,59
